Paquetes rcv,Tiempo instantaneo,Numero de paquete,Altitud BMP,Temperatura BMP ©,Presion mBar,Tension de la bateria V,Longitud,Latitud,Altitud GPS,Satelites GPS,Etapa de vuelo,GPS Hora,GPS Minutos,GPS Segundos,,,,
183,2093,183,226.1100006,50.25999832,962.7299805,7.949999809,9.993830681,-84.65219116,432.3999939,8,33,12,45,41.203125,,,, 
184,2093,184,226.0099945,50.25999832,962.7399902,7.949999809,9.993825912,-84.65219116,432.5,8,33,12,45,41.296875,,,, 
185,2093,185,225.0099945,50.27000046,962.8599854,7.949999809,9.993823051,-84.65219116,432.5999756,8,33,12,45,41.390625,,,, 
186,2093,186,223.8600006,50.25999832,962.9899902,7.949999809,9.993821144,-84.65218353,432.6999817,8,33,12,45,41.5,,,, 
187,2093,187,223.1499939,50.25999832,963.0700073,7.949999809,9.993818283,-84.65218353,432.7999878,8,33,12,45,41.59375,,,, 
188,2093,188,223.8300018,50.27000046,962.9899902,7.949999809,9.993817329,-84.65218353,432.8999939,8,33,12,45,41.703125,,,, 
189,2093,189,223.4499969,50.25999832,963.039978,7.949999809,9.993815422,-84.65218353,433,8,33,12,45,41.796875,,,, 
190,2093,190,222.3699951,50.25999832,963.1599731,7.949999809,9.993813515,-84.65219116,433,8,33,12,45,41.921875,,,, 
191,2094,191,223.1699982,50.25,963.0700073,7.949999809,9.993811607,-84.65219116,433.2999878,9,33,12,45,42,,,, 
192,2094,192,221.2299957,50.27000046,963.289978,7.949999809,9.993803024,-84.65219116,433.5999756,9,33,12,45,42.078125,,,, 
193,2094,193,220.6199951,50.27000046,963.3599854,7.949999809,9.993807793,-84.65219116,433.8999939,8,33,12,45,42.203125,,,, 
194,2094,194,220.6599884,50.27000046,963.3599854,7.949999809,9.993811607,-84.65219116,434.5999756,10,33,12,45,42.390625,,,, 
195,2094,195,220.0499878,50.25999832,963.4299927,7.949999809,9.993813515,-84.65219116,434.8999939,9,33,12,45,42.5,,,, 
196,2094,196,221.7399902,50.27000046,963.2299805,7.949999809,9.993811607,-84.65219116,435.1999817,10,33,12,45,42.59375,,,, 
197,2094,197,220.7999878,50.27000046,963.3399658,7.949999809,9.993811607,-84.65219116,435.5,10,33,12,45,42.703125,,,, 
198,2094,198,220.019989,50.27000046,963.4299927,7.949999809,9.993807793,-84.65219116,435.6999817,12,33,12,45,42.796875,,,, 
199,2094,199,218.9700012,50.25999832,963.5499878,7.949999809,9.99379921,-84.65219116,436.0999756,12,33,12,45,42.921875,,,, 
200,2095,200,217.769989,50.27999878,963.6900024,7.949999809,9.993786812,-84.65219116,436.3999939,12,33,12,45,43,,,, 
